2024-01-26 13:49:33,320 - INFO - Opción errónea, inténtelo otra vez.
2024-01-26 13:50:48,081 - INFO - Opción errónea, inténtelo otra vez.
2024-01-26 13:50:53,571 - INFO - Opción errónea, inténtelo otra vez.
2024-01-26 15:12:53,294 - INFO - Recuerde utilizar el comando: python Apollo11.py --opcion valor_cambiado, para modificar valores desde consola.

De lo contrario, continue con el siguiente Menu:
2024-01-26 15:13:10,594 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:10,597 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:10,649 - INFO - Se ha generado un hash
2024-01-26 15:13:10,649 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,649 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,649 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:10,649 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:10,652 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:10,704 - INFO - Se ha generado un hash
2024-01-26 15:13:10,704 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,704 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,704 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:10,705 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:10,707 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:10,759 - INFO - Se ha generado un hash
2024-01-26 15:13:10,759 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,760 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,760 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:10,762 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:10,767 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:10,818 - INFO - Se ha generado un hash
2024-01-26 15:13:10,818 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,818 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,818 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:10,819 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:10,821 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:10,873 - INFO - Se ha generado un hash
2024-01-26 15:13:10,873 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,873 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,873 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:10,873 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:10,876 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:10,927 - INFO - Se ha generado un hash
2024-01-26 15:13:10,927 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,927 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,928 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:10,928 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:10,931 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:10,983 - INFO - Se ha generado un hash
2024-01-26 15:13:10,983 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,983 - INFO - Listado de misiones Creado
2024-01-26 15:13:10,983 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:10,984 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:10,987 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,038 - INFO - Se ha generado un hash
2024-01-26 15:13:11,038 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,038 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,038 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,038 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,041 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,093 - INFO - Se ha generado un hash
2024-01-26 15:13:11,093 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,093 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,093 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,094 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,097 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,148 - INFO - Se ha generado un hash
2024-01-26 15:13:11,148 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,148 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,148 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,149 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,151 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,202 - INFO - Se ha generado un hash
2024-01-26 15:13:11,202 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,202 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,202 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,202 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,204 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,255 - INFO - Se ha generado un hash
2024-01-26 15:13:11,255 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,256 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,256 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,256 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,262 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,314 - INFO - Se ha generado un hash
2024-01-26 15:13:11,315 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,315 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,315 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,316 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,321 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,372 - INFO - Se ha generado un hash
2024-01-26 15:13:11,373 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,373 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,373 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,374 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,380 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,431 - INFO - Se ha generado un hash
2024-01-26 15:13:11,431 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,432 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,432 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,432 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,438 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,489 - INFO - Se ha generado un hash
2024-01-26 15:13:11,489 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,490 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,490 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,490 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,497 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,550 - INFO - Se ha generado un hash
2024-01-26 15:13:11,551 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,551 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,551 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,552 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,557 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,608 - INFO - Se ha generado un hash
2024-01-26 15:13:11,609 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,609 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,609 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,610 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,616 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,668 - INFO - Se ha generado un hash
2024-01-26 15:13:11,668 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,669 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,669 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,669 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,677 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,729 - INFO - Se ha generado un hash
2024-01-26 15:13:11,729 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,729 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,730 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,730 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,737 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,790 - INFO - Se ha generado un hash
2024-01-26 15:13:11,790 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,790 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,790 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,790 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,792 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,843 - INFO - Se ha generado un hash
2024-01-26 15:13:11,844 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,844 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,844 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,844 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,850 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,939 - INFO - Se ha generado un hash
2024-01-26 15:13:11,939 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,940 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,940 - INFO - Lista de dispositivos desplegada
2024-01-26 15:13:11,940 - INFO - Listado de estados generado correctamente
2024-01-26 15:13:11,943 - INFO - Se ha generado archivos correctamente
2024-01-26 15:13:11,993 - INFO - Se ha generado un hash
2024-01-26 15:13:11,993 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,993 - INFO - Listado de misiones Creado
2024-01-26 15:13:11,993 - INFO - Lista de dispositivos desplegada
